SMILES,pIC50,FP
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1,8.1,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,7.84,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,7.26,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,7.800000000000001,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,7.800000000000001,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,8.15,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,7.82,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1,6.92,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)c1,7.11,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,7.8,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,7.585000000000001,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,6.72,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,9.47,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,8.77,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1,7.36,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.19,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,7.6,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.62,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,8.77,[0 0 1 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCCO5)cc23)c1,5.94,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,7.01,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1,5.99,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,6.2,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,7.54,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccc4c(c23)OCCN4)c1,6.92,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,8.91,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccccc23)c1,7.57,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cccnc23)c1,7.465,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccncc23)c1,7.455,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCCN1CCOCC1,8.26,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,8.72,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,9.29,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,8.49,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccncc23)c1NCCc1c[nH]cn1,9.04,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ccsc23)c1,7.96,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,8.615,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,8.535,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,8.405,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)nc23)c1,8.64,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,8.625,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,9.09,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,8.655,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,9.6,[0 0 0 ... 0 0 0]
